scope,heldout_family_id,policy,requested_instances,valid_instances,invalid_instances,failure_instances,selection_accuracy,within_5pct_oracle_rate,invalid_rate,failure_rate,geometric_mean_selected_over_oracle_valid_only,geometric_mean_speedup_vs_oracle_inverse_valid_only,median_normalized_regret_valid_only,p90_normalized_regret_valid_only,maximum_normalized_regret_valid_only,geometric_mean_speedup_vs_fixed_cpu_valid_only,geometric_mean_speedup_vs_fixed_gpu_valid_only
pooled,,fixed_cpu16,15,15,0,0,0.3333333333333333,0.3333333333333333,0.0,0.0,1.8750253246988415,0.5333261299607329,0.3204754393920177,3.539703597050477,5.482571387657153,1.0,0.5765138778218245
pooled,,fixed_gpu,15,15,0,0,0.6666666666666666,0.6666666666666666,0.0,0.0,1.080978120956255,0.9250881036476297,0.0,0.3517051731668683,0.3869591107344933,1.7345636219169327,1.0
pooled,,static_size_threshold,15,15,0,0,0.8666666666666667,0.8666666666666667,0.0,0.0,1.0377461353348265,0.9636268119440908,0.0,0.15566090120566486,0.3841755352561985,1.8068246759539786,1.0416595004783897
pooled,,size_only_tree_ablation,15,15,0,0,0.8,0.8,0.0,0.0,1.1717731863098702,0.8534074782417443,0.0,0.2960591977723206,5.482571387657153,1.6001606339906465,0.9225148122397769
pooled,,autosbd_full_tree,15,15,0,0,0.8666666666666667,0.8666666666666667,0.0,0.0,1.0229922425736244,0.9775245191343964,0.0,0.0699781749235557,0.25943483534277495,1.8328832288910508,1.0566826178825666
pooled,,measured_feasible_oracle,15,15,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.8750253246988415,1.080978120956255
heldout_family,fe4s4,fixed_cpu16,5,5,0,0,0.2,0.2,0.0,0.0,2.0779687720600366,0.4812391858077009,0.9834842404051707,3.0910759721114305,3.542081714297355,1.0,0.4955664118022451
heldout_family,fe4s4,fixed_gpu,5,5,0,0,0.8,0.8,0.0,0.0,1.0297715282069095,0.9710891907656941,0.0,0.09479334569411678,0.15798890949019462,2.0178930132961637,1.0
heldout_family,fe4s4,static_size_threshold,5,5,0,0,0.8,0.8,0.0,0.0,1.0472132783479557,0.954915317324435,0.0,0.155660901205665,0.25943483534277495,1.9842842093619764,0.9833446056293694
heldout_family,fe4s4,size_only_tree_ablation,5,5,0,0,0.8,0.8,0.0,0.0,1.0472132783479557,0.954915317324435,0.0,0.155660901205665,0.25943483534277495,1.9842842093619764,0.9833446056293694
heldout_family,fe4s4,autosbd_full_tree,5,5,0,0,0.8,0.8,0.0,0.0,1.0472132783479557,0.954915317324435,0.0,0.155660901205665,0.25943483534277495,1.9842842093619764,0.9833446056293694
heldout_family,fe4s4,measured_feasible_oracle,5,5,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0779687720600366,1.0297715282069095
heldout_family,n2,fixed_cpu16,5,5,0,0,0.4,0.4,0.0,0.0,1.6849341677835585,0.5934949976802043,0.11663029153925956,2.7941370666881893,3.536136421180159,1.0,0.6389633217620321
heldout_family,n2,fixed_gpu,5,5,0,0,0.6,0.6,0.0,0.0,1.0766111327973276,0.9288404787360214,0.0,0.22582744426540335,0.30299963003287295,1.5650350590427602,1.0
heldout_family,n2,static_size_threshold,5,5,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.6849341677835585,1.0766111327973276
heldout_family,n2,size_only_tree_ablation,5,5,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.6849341677835585,1.0766111327973276
heldout_family,n2,autosbd_full_tree,5,5,0,0,0.8,0.8,0.0,0.0,1.0223082863870683,0.9781785135813504,0.0,0.06997817492355575,0.11663029153925956,1.648166399724951,1.0531178775848238
heldout_family,n2,measured_feasible_oracle,5,5,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.6849341677835585,1.0766111327973276
heldout_family,h2o,fixed_cpu16,5,5,0,0,0.4,0.4,0.0,0.0,1.8827794941768619,0.5311296426866987,0.3204754393920177,3.9950960523549197,5.482571387657153,1.0,0.6051339315127189
heldout_family,h2o,fixed_gpu,5,5,0,0,0.6,0.6,0.0,0.0,1.1393337574827729,0.8777059342201755,0.0,0.38584568054317536,0.3869591107344933,1.6525267348670922,1.0
heldout_family,h2o,static_size_threshold,5,5,0,0,0.8,0.8,0.0,0.0,1.0671813668697498,0.9370478449536598,0.0,0.23050532115371913,0.3841755352561985,1.7642544675413703,1.067610242132188
heldout_family,h2o,size_only_tree_ablation,5,5,0,0,0.6,0.6,0.0,0.0,1.536368970070679,0.650885314322637,0.0,3.4177330083510986,5.482571387657153,1.2254735228675222,0.7415756108575656
heldout_family,h2o,autosbd_full_tree,5,5,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.8827794941768619,1.1393337574827729
heldout_family,h2o,measured_feasible_oracle,5,5,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.8827794941768619,1.1393337574827729
