measurement,primary_overhead_measurement,includes_model_file_io,os_page_cache_controlled,warmup_iterations,iteration_count,minimum_us,median_us,p90_us,p95_us,maximum_us,selected_candidate_counts,selection_checksum_sha256,hot_median_percent_of_shortest_sbd_runtime,raw_record_path,raw_record_sha256
hot_selection,True,False,,1000,10000,41.334,44.165,46.157300000000006,48.977199999999996,157.348,"{""amd-cpu-16"":5336,""amd-l4-default"":4664}",d763b3562b9b36f79f6102536a08d340f4bcc9e7738e77f76115591b8fb1830e,0.007273449840352077,results/raw/inference_overhead_multifamily/7d959e7f5eb8f3688adefa3367e810a60439ace9bc2fc4adfd49217099ac17cd.json,bbc81eb128b9504d348d5bc1e5635ab9cbb27121af64671ce3a2788a69f66754
cold_load_plus_selection,False,True,False,10,100,821.967,840.905,855.6012999999999,859.7317,990.03,"{""amd-cpu-16"":56,""amd-l4-default"":44}",a24f77362ac22f86629565cf1d64dc4688603afa090eb5e4091a80cfc8d06988,,results/raw/inference_overhead_multifamily/7d959e7f5eb8f3688adefa3367e810a60439ace9bc2fc4adfd49217099ac17cd.json,bbc81eb128b9504d348d5bc1e5635ab9cbb27121af64671ce3a2788a69f66754
