problem_instance,family_id,n_configurations,cpu_threads,count,wall_minimum_s,wall_q1_s,wall_median_s,wall_q3_s,wall_iqr_s,wall_maximum_s,solver_median_s
fe4s4-prefix-0032,,1024,1,1,4.825855235998461,4.825855235998461,4.825855235998461,4.825855235998461,0.0,4.825855235998461,3.579884
fe4s4-prefix-0032,,1024,4,1,2.2148800249997294,2.2148800249997294,2.2148800249997294,2.2148800249997294,0.0,2.2148800249997294,1.040101
fe4s4-prefix-0032,,1024,8,1,1.6123988079998526,1.6123988079998526,1.6123988079998526,1.6123988079998526,0.0,1.6123988079998526,0.499606
fe4s4-prefix-0032,,1024,16,6,1.4105689610005356,1.41091273074926,1.4112821175003774,1.411645962498369,0.0007332317491091089,1.4120800509990659,0.263093
fe4s4-prefix-0055,,3025,1,1,18.586236787996313,18.586236787996313,18.586236787996313,18.586236787996313,0.0,18.586236787996313,16.835207
fe4s4-prefix-0055,,3025,4,1,5.5287907120000455,5.5287907120000455,5.5287907120000455,5.5287907120000455,0.0,5.5287907120000455,4.283602999999999
fe4s4-prefix-0055,,3025,8,1,3.319506758998614,3.319506758998614,3.319506758998614,3.319506758998614,0.0,3.319506758998614,2.149965
fe4s4-prefix-0055,,3025,16,6,2.4149097339977743,2.4161653637456766,2.4170121854986064,2.4178749439997773,0.0017095802541007288,2.4183522559978883,1.2401214999999999
fe4s4-prefix-0100,,10000,1,1,67.1935004170009,67.1935004170009,67.1935004170009,67.1935004170009,0.0,67.1935004170009,63.69837099999999
fe4s4-prefix-0100,,10000,4,1,17.88604694699461,17.88604694699461,17.88604694699461,17.88604694699461,0.0,17.88604694699461,16.214859
fe4s4-prefix-0100,,10000,8,1,9.549780615998316,9.549780615998316,9.549780615998316,9.549780615998316,0.0,9.549780615998316,8.201519
fe4s4-prefix-0100,,10000,16,4,5.632598222000524,5.633583186498072,5.634589095498086,5.6352882199989835,0.001705033500911668,5.635352830999182,4.369533499999999
