measurement,primary_overhead_measurement,includes_model_file_io,os_page_cache_controlled,warmup_iterations,iteration_count,minimum_us,median_us,p90_us,p95_us,maximum_us,selected_candidate_counts,selection_checksum_sha256,hot_median_percent_of_shortest_sbd_runtime,raw_record_path,raw_record_sha256
hot_selection,True,False,,1000,10000,37.701,38.65,42.667300000000004,48.71309999999999,214.577,"{""amd-cpu-16"":6000,""amd-l4-default"":4000}",bb968d15ea964a8d16916f4419484bdd436dc2efc83465b1bf1f86623d3d2cd8,0.002739337080263366,results/raw/inference_overhead/50b9351e5d3ab74fdb71a8915acdcd682891d736b58db1e86ef64d400c2fb6b4.json,ea293deabbd2c904e1b432a88075c750db9ef7eb595d58d8a45fc452e1c4d356
cold_load_plus_selection,False,True,False,10,100,909.477,929.1099999999999,936.1551000000001,939.67855,948.61,"{""amd-cpu-16"":60,""amd-l4-default"":40}",2c7771b0aeabcd435b3742cc0fcca7d76d7644160db1b0e17642d154f89ae3e8,,results/raw/inference_overhead/50b9351e5d3ab74fdb71a8915acdcd682891d736b58db1e86ef64d400c2fb6b4.json,ea293deabbd2c904e1b432a88075c750db9ef7eb595d58d8a45fc452e1c4d356
